# y/t    WL_xc08
0.00000000 0.99985763
0.00408696 0.99985763
0.00780870 0.99984407
0.01433045 0.99983729
0.01582610 0.99983729
0.02396524 0.99983729
0.02485220 0.99983729
0.03215655 0.99984407
0.03554786 0.99984407
0.04038264 0.99985085
0.04631308 0.99985085
0.04860874 0.99985085
0.05683483 0.99985763
0.05709570 0.99985763
0.06500875 0.99985763
0.06782615 0.99985763
0.07314789 0.99986441
0.07850442 0.99986441
0.08126964 0.99986441
0.08907834 0.99986441
0.08935660 0.99986441
0.09739139 0.99986441
0.09954791 0.99986441
0.10539140 0.99986441
0.10987836 0.99986441
0.11335662 0.99987119
0.12006967 0.99987119
0.12130445 0.99987119
0.12920011 0.99987119
0.13012185 0.99987119
0.13706099 0.99987119
0.14003490 0.99987797
0.14490447 0.99987797
0.14980883 0.99987797
0.15271318 0.99987797
0.15944362 0.99987797
0.16050449 0.99988475
0.16827841 0.99988475
0.16892189 0.99988475
0.17603494 0.99989153
0.17827842 0.99989153
0.18377407 0.99989153
0.18751321 0.99989153
0.19149582 0.99989831
0.19662626 0.99989831
0.19921756 0.99989831
0.20563496 0.99990508
0.20693931 0.99990508
0.21457410 0.99991186
0.21464366 0.99991186
0.22231324 0.99991864
0.22340889 0.99991864
0.22994803 0.99992542
0.23222629 0.99993220
0.23760021 0.99993898
0.24116543 0.99993220
0.24525239 0.99991864
0.25046978 0.99988475
0.25297413 0.99987119
0.26015675 0.99994576
0.26076544 0.99994576
0.26866110 1.00027797
0.27026110 1.00025763
0.27660894 1.00031186
0.28050459 0.99955254
0.28462633 0.99894915
0.29086982 0.99578983
0.29271330 0.99498305
0.30085244 0.98821017
0.30133939 0.98770169
0.30906114 0.97969492
0.31193071 0.97663051
0.31732202 0.97086102
0.32264376 0.96555254
0.32565246 0.96250169
0.33349594 0.95543729
0.33405246 0.95492203
0.34250465 0.94815593
0.34445247 0.94681356
0.35102639 0.94218983
0.35553074 0.93952542
0.35960031 0.93705085
0.36673075 0.93353220
0.36826119 0.93275932
0.37697424 0.92936271
0.37805250 0.92907797
0.38575686 0.92691525
0.38949599 0.92633898
0.39459165 0.92546441
0.40106122 0.92517288
0.40351339 0.92501017
0.41250471 0.92558644
0.41271340 0.92562712
0.42156558 0.92719322
0.42448733 0.92806102
0.43067864 0.92978983
0.43636560 0.93202712
0.43989603 0.93334915
0.44836561 0.93744407
0.44918300 0.93783051
0.45853953 0.94318644
0.46043518 0.94445424
0.46796562 0.94936271
0.47260911 0.95280000
0.47747868 0.95632542
0.48486999 0.96228475
0.48709608 0.96403390
0.49678304 0.97258305
0.49723521 0.97300339
0.50655696 0.98185085
0.50965262 0.98452881
0.51641784 0.99052203
0.52217437 0.99385763
0.52638307 0.99651525
0.53474829 0.99878644
0.53645264 0.99932881
0.54660917 1.00011525
0.54740917 1.00011525
0.55685266 1.00015593
0.56013962 1.00013559
0.56721788 1.00008136
0.57293963 1.00006102
0.57770485 1.00004746
0.58580921 1.00004068
0.58829616 1.00004068
0.59873096 1.00004068
0.59900922 1.00004068
0.60982662 1.00004746
0.61170488 1.00004746
0.62076576 1.00004746
0.62473098 1.00004746
0.63184403 1.00004746
0.63782664 1.00004746
0.64306143 1.00004746
0.65095709 1.00004068
0.65441796 1.00004068
0.66413971 1.00004068
0.66593101 1.00004068
0.67733972 1.00004068
0.67758320 1.00004068
0.68940930 1.00004068
0.69059190 1.00004068
0.70137452 1.00003390
0.70386148 1.00003390
0.71353106 1.00003390
0.71718323 1.00003390
0.72584411 1.00003390
0.73053977 1.00003390
0.73836586 1.00003390
0.74393108 1.00003390
0.75107891 1.00003390
0.75737457 1.00003390
0.76398327 1.00003390
0.77085284 1.00003390
0.77709633 1.00004068
0.78438329 1.00004068
0.79043547 1.00004746
0.79796591 1.00004746
0.80398331 1.00005424
0.81160071 1.00005424
0.81775723 1.00005424
0.82528767 1.00004746
0.83175725 1.00004068
0.83902682 1.00002712
0.84600074 1.00001356
0.85280074 0.99998644
0.86045292 0.99995932
0.86664423 0.99993898
0.87513120 0.99991186
0.88050511 0.99989831
0.89003556 0.99987797
0.89440078 0.99987797
0.90513122 0.99987119
0.90833122 0.99987119
0.92040080 0.99986441
0.92226167 0.99985763
0.93586168 0.99985085
0.93617473 0.99985085
0.95005300 0.99984407
0.95147909 0.99984407
0.96386171 0.99982373
0.96727041 0.99981017
0.97753128 0.99979661
0.98321825 0.99981017
0.99092260 0.99984407
1.00000000 0.99985763
